threshold_C,precision,recall,f1,accuracy,tp,fp,fn,tn
49.01,0.6854219948849105,0.8212461695607763,0.7472118959107809,0.6519513755598209,804,369,175,215
49.04,0.6851535836177475,0.8202247191011236,0.7466294746629475,0.6513115802943058,803,369,176,215
49.05,0.6848847139197267,0.8192032686414709,0.7460465116279069,0.6506717850287908,802,369,177,215
49.06,0.6855184233076264,0.8171603677221655,0.7455731593662628,0.6506717850287908,800,367,179,217
49.07,0.6861063464837049,0.8171603677221655,0.745920745920746,0.6513115802943058,800,366,179,218
49.08,0.6858369098712447,0.8161389172625128,0.7453358208955224,0.6506717850287908,799,366,180,218
49.1,0.6861564918314703,0.81511746680286,0.7450980392156862,0.6506717850287908,798,365,181,219
49.11,0.6867469879518072,0.81511746680286,0.7454460532461467,0.6513115802943058,798,364,181,220
49.14,0.6885245901639344,0.81511746680286,0.7464920486435921,0.653230966090851,798,361,181,223
49.15,0.6888504753673294,0.8140960163432074,0.7462546816479401,0.653230966090851,797,360,182,224
49.17,0.6883116883116883,0.8120531154239019,0.7450796626054357,0.6519513755598209,795,360,184,224
49.18,0.6880415944540728,0.8110316649642493,0.7444913267698078,0.6513115802943058,794,360,185,224
49.2,0.6886383347788378,0.8110316649642493,0.7448405253283303,0.6519513755598209,794,359,185,225
49.21,0.6883680555555556,0.8100102145045965,0.7442515251055841,0.6513115802943058,793,359,186,225
49.22,0.6889661164205039,0.8100102145045965,0.7446009389671361,0.6519513755598209,793,358,186,226
49.23,0.6901653611836379,0.8100102145045965,0.7453007518796992,0.653230966090851,793,356,186,228
49.25,0.6910994764397905,0.8089887640449438,0.7454117647058823,0.653870761356366,792,354,187,230
49.26,0.6908296943231441,0.8079673135852911,0.7448210922787194,0.653230966090851,791,354,188,230
49.27,0.6914335664335665,0.8079673135852911,0.7451719265190769,0.653870761356366,791,353,188,231
49.3,0.6911636045494314,0.8069458631256384,0.7445805843543828,0.653230966090851,790,353,189,231
49.31,0.691768826619965,0.8069458631256384,0.744931636020745,0.653870761356366,790,352,189,232
49.32,0.6929824561403509,0.8069458631256384,0.7456347333647948,0.655150351887396,790,350,189,234
49.33,0.6935908691834943,0.8069458631256384,0.7459867799811143,0.6557901471529111,790,349,189,235
49.34,0.6948109058927001,0.8069458631256384,0.7466918714555766,0.6570697376839412,790,347,189,237
49.35,0.6951541850220264,0.8059244126659857,0.7464522232734153,0.6570697376839412,789,346,190,238
49.37,0.6948853615520282,0.804902962206333,0.7458589682915286,0.6564299424184261,788,346,191,238
49.38,0.6954986760812003,0.804902962206333,0.7462121212121212,0.6570697376839412,788,345,191,239
49.39,0.6952296819787986,0.8038815117466803,0.7456181904310755,0.6564299424184261,787,345,192,239
49.4,0.695575221238938,0.8028600612870276,0.7453769559032717,0.6564299424184261,786,344,193,240
49.41,0.6965394853593612,0.8018386108273748,0.7454890788224121,0.6570697376839412,785,342,194,242
49.44,0.6962699822380106,0.8008171603677222,0.7448931116389549,0.6564299424184261,784,342,195,242
49.45,0.6966192170818505,0.7997957099080695,0.7446504992867331,0.6564299424184261,783,341,196,243
